"url","id","publisherName","releaseDate","name","isAgeRestricted","activeCtaId","starRating/averageRating","starRating/totalRatingsCount"
"https://store.playstation.com/en-us/product/UP9000-PPSA04539_00-RONINDDELUXE0001","UP9000-PPSA04539_00-RONINDDELUXE0001","Sony Interactive Entertainment","2024-03-22T04:00:00Z","Rise of the Ronin™ Digital Deluxe Edition","false","PREORDER:BUY_NOW:UP9000-PPSA04539_00-RONINDDELUXE0001-U001:OUTRIGHT","0","0"
"https://store.playstation.com/en-us/product/UP0102-PPSA09663_00-DELUXEEDITION000","UP0102-PPSA09663_00-DELUXEEDITION000","Capcom U.S.A., Inc.","2024-03-22T04:00:00Z","Dragon's Dogma 2 Deluxe Edition","false","PREORDER:BUY_NOW:UP0102-PPSA09663_00-DELUXEEDITION000-U001:OUTRIGHT","0","0"
"https://store.playstation.com/en-us/product/UP4389-PPSA15573_00-SOUTHPARKSNOWDAY","UP4389-PPSA15573_00-SOUTHPARKSNOWDAY","THQ Nordic","2024-03-26T14:00:00Z","SOUTH PARK: SNOW DAY!","false","PREORDER:BUY_NOW:UP4389-PPSA15573_00-SOUTHPARKSNOWDAY-U001:OUTRIGHT","0","0"
"https://store.playstation.com/en-us/product/UP4389-PPSA15573_00-SPSDDELUXEDITION","UP4389-PPSA15573_00-SPSDDELUXEDITION","THQ Nordic","2024-03-26T14:00:00Z","SOUTH PARK: SNOW DAY! Digital Deluxe","false","PREORDER:BUY_NOW:UP4389-PPSA15573_00-SPSDDELUXEDITION-U001:OUTRIGHT","0","0"
"https://store.playstation.com/en-us/product/UP4382-PPSA16847_00-6568456151616516","UP4382-PPSA16847_00-6568456151616516","Wired Productions","2024-03-26T04:00:00Z","Bulwark: Falconeer Chronicles","false","PREORDER:BUY_NOW:UP4382-PPSA16847_00-6568456151616516-U001:OUTRIGHT","4.21","101"
"https://store.playstation.com/en-us/product/UP0102-PPSA09663_00-DD2GAME000000000","UP0102-PPSA09663_00-DD2GAME000000000","Capcom U.S.A., Inc.","2024-03-22T04:00:00Z","Dragon's Dogma 2","false","PREORDER:BUY_NOW:UP0102-PPSA09663_00-DD2GAME000000000-U001:OUTRIGHT","0","0"
"https://store.playstation.com/en-us/product/UP5641-PPSA21099_00-JIGSAWTETRAPS5US","UP5641-PPSA21099_00-JIGSAWTETRAPS5US","ERIK GAMES YAZILIM OYUN TEKNOLOJILERI TICARET ANONIM SIRKETI","2024-03-01T23:00:00Z","Jigsaw Tetra","false","ADD_TO_CART:ADD_TO_CART:UP5641-PPSA21099_00-JIGSAWTETRAPS5US-U001:OUTRIGHT","5","4"
"https://store.playstation.com/en-us/product/UP0891-PPSA15474_00-ONEMOREDUNGEONRG","UP0891-PPSA15474_00-ONEMOREDUNGEONRG","Ratalaika Games SL","2024-03-01T05:00:00Z","One More Dungeon 2 PS4® & PS5®","false","ADD_TO_CART:ADD_TO_CART:UP0891-PPSA15474_00-ONEMOREDUNGEONRG-U001:OUTRIGHT","4.2","5"
"https://store.playstation.com/en-us/product/UP4133-PPSA17423_00-EXPEDITIONSED0Y1","UP4133-PPSA17423_00-EXPEDITIONSED0Y1","Focus Entertainment","2024-03-01T10:00:00Z","Expeditions: A MudRunner Game - Year 1 Edition (PS4 & PS5)","false","PREORDER:BUY_NOW:UP4133-PPSA17423_00-EXPEDITIONSED0Y1-U001:OUTRIGHT","4.48","27"
"https://store.playstation.com/en-us/product/UP4133-PPSA17423_00-EXPEDITIONSEDSUP","UP4133-PPSA17423_00-EXPEDITIONSEDSUP","Focus Entertainment","2024-03-01T10:00:00Z","Expeditions: A MudRunner Game - Supreme Edition (PS4 & PS5)","false","PREORDER:BUY_NOW:UP4133-PPSA17423_00-EXPEDITIONSEDSUP-U001:OUTRIGHT","4.48","27"
